"","GeneName","GeneID","PathwayNum","PathwayName","pvalue"
"","CDC42","998","hsa05205","Proteoglycans in cancer","0.0254975124378108"
"","CDC42","998","hsa04015","Rap1 signaling pathway","0.0261194029850746"
"","CDC42","998","hsa04810","Regulation of actin cytoskeleton","0.0264925373134329"
"","CDC42","998","hsa05132","Salmonella infection","0.0266169154228858"
"","CDC42","998","hsa04014","Ras signaling pathway","0.0288557213930349"
"","CDC42","998","hsa05131","Shigellosis","0.0297263681592042"
"","CDC42","998","hsa04144","Endocytosis","0.0307213930348259"
"","CDC42","998","hsa04010","MAPK signaling pathway","0.0365671641791047"
"","CDC42","998","hsa05165","Human papillomavirus infection","0.0410447761194033"
"","CRYAB","1410","hsa04213","Longevity regulating pathway - multiple species","0.00771144278606961"
"","CRYAB","1410","hsa04141","Protein processing in endoplasmic reticulum","0.0207711442786072"
"","DKK1","22943","hsa04310","Wnt signaling pathway","0.0199004975124379"
"","DKK1","22943","hsa05010","Alzheimer disease","0.0458955223880598"
"","DLG4","1742","hsa05030","Cocaine addiction","0.00609452736318417"
"","DLG4","1742","hsa04724","Glutamatergic synapse","0.0141791044776119"
"","DLG4","1742","hsa04390","Hippo signaling pathway","0.0195273631840797"
"","DLG4","1742","hsa05016","Huntington disease","0.0380597014925372"
"","DVL1","1855","hsa04330","Notch signaling pathway","0.00659203980099499"
"","DVL1","1855","hsa05217","Basal cell carcinoma","0.00783582089552237"
"","DVL1","1855","hsa04916","Melanogenesis","0.0125621890547265"
"","DVL1","1855","hsa04550","Signaling pathways regulating pluripotency of stem cells","0.0177860696517413"
"","DVL1","1855","hsa05224","Breast cancer","0.0182835820895524"
"","DVL1","1855","hsa05226","Gastric cancer","0.0185323383084578"
"","DVL1","1855","hsa04150","mTOR signaling pathway","0.0192786069651742"
"","DVL1","1855","hsa04934","Cushing syndrome","0.0192786069651742"
"","DVL1","1855","hsa04390","Hippo signaling pathway","0.0195273631840797"
"","DVL1","1855","hsa04310","Wnt signaling pathway","0.0199004975124379"
"","DVL1","1855","hsa05225","Hepatocellular carcinoma","0.0208955223880598"
"","DVL1","1855","hsa05165","Human papillomavirus infection","0.0410447761194033"
"","DVL1","1855","hsa05010","Alzheimer disease","0.0458955223880598"
"","DVL2","1856","hsa04330","Notch signaling pathway","0.00659203980099499"
"","DVL2","1856","hsa05217","Basal cell carcinoma","0.00783582089552237"
"","DVL2","1856","hsa04916","Melanogenesis","0.0125621890547265"
"","DVL2","1856","hsa04550","Signaling pathways regulating pluripotency of stem cells","0.0177860696517413"
"","DVL2","1856","hsa05224","Breast cancer","0.0182835820895524"
"","DVL2","1856","hsa05226","Gastric cancer","0.0185323383084578"
"","DVL2","1856","hsa04150","mTOR signaling pathway","0.0192786069651742"
"","DVL2","1856","hsa04934","Cushing syndrome","0.0192786069651742"
"","DVL2","1856","hsa04390","Hippo signaling pathway","0.0195273631840797"
"","DVL2","1856","hsa04310","Wnt signaling pathway","0.0199004975124379"
"","DVL2","1856","hsa05225","Hepatocellular carcinoma","0.0208955223880598"
"","DVL2","1856","hsa05165","Human papillomavirus infection","0.0410447761194033"
"","DVL2","1856","hsa05010","Alzheimer disease","0.0458955223880598"
"","DVL3","1857","hsa04330","Notch signaling pathway","0.00659203980099499"
"","DVL3","1857","hsa05217","Basal cell carcinoma","0.00783582089552237"
"","DVL3","1857","hsa04916","Melanogenesis","0.0125621890547265"
"","DVL3","1857","hsa04550","Signaling pathways regulating pluripotency of stem cells","0.0177860696517413"
"","DVL3","1857","hsa05224","Breast cancer","0.0182835820895524"
"","DVL3","1857","hsa05226","Gastric cancer","0.0185323383084578"
"","DVL3","1857","hsa04150","mTOR signaling pathway","0.0192786069651742"
"","DVL3","1857","hsa04934","Cushing syndrome","0.0192786069651742"
"","DVL3","1857","hsa04390","Hippo signaling pathway","0.0195273631840797"
"","DVL3","1857","hsa04310","Wnt signaling pathway","0.0199004975124379"
"","DVL3","1857","hsa05225","Hepatocellular carcinoma","0.0208955223880598"
"","DVL3","1857","hsa05165","Human papillomavirus infection","0.0410447761194033"
"","DVL3","1857","hsa05010","Alzheimer disease","0.0458955223880598"
"","ELOC","6921","hsa05211","Renal cell carcinoma","0.00858208955223894"
"","ELOC","6921","hsa04066","HIF-1 signaling pathway","0.0135572139303481"
"","ELOC","6921","hsa04120","Ubiquitin mediated proteolysis","0.0174129353233831"
"","ELOC","6921","hsa05170","Human immunodeficiency virus 1 infection","0.0263681592039802"
"","EPHB6","2051","hsa04360","Axon guidance","0.0225124378109454"
"","EPN1","29924","hsa04144","Endocytosis","0.0307213930348259"
"","ERG","2078","hsa05215","Prostate cancer","0.0120646766169155"
"","ERG","2078","hsa05202","Transcriptional misregulation in cancer","0.0231343283582092"
"","ETV6","2120","hsa05202","Transcriptional misregulation in cancer","0.0231343283582092"
"","GCNT1","2650","hsa00512","Mucin type O-glycan biosynthesis","0.00398009950248757"
"","GHRL","51738","hsa04935","Growth hormone synthesis, secretion and action","0.0148009950248759"
"","GHRL","51738","hsa04024","cAMP signaling pathway","0.026865671641791"
"","GHRL","51738","hsa04080","Neuroactive ligand-receptor interaction","0.0422885572139305"
"","GIP","2695","hsa04911","Insulin secretion","0.0106965174129352"
"","GIP","2695","hsa04024","cAMP signaling pathway","0.026865671641791"
"","GIP","2695","hsa04080","Neuroactive ligand-receptor interaction","0.0422885572139305"
"","GLI1","2735","hsa04340","Hedgehog signaling pathway","0.0062189054726367"
"","GLI1","2735","hsa05217","Basal cell carcinoma","0.00783582089552237"
"","GLI1","2735","hsa04024","cAMP signaling pathway","0.026865671641791"
"","GLI2","2736","hsa04340","Hedgehog signaling pathway","0.0062189054726367"
"","GLI2","2736","hsa05217","Basal cell carcinoma","0.00783582089552237"
"","GLI2","2736","hsa04390","Hippo signaling pathway","0.0195273631840797"
"","GNAQ","2776","hsa05143","African trypanosomiasis","0.00460199004975126"
"","GNAQ","2776","hsa04961","Endocrine and other factor-regulated calcium reabsorption","0.00659203980099499"
"","GNAQ","2776","hsa04730","Long-term depression","0.00746268656716431"
"","GNAQ","2776","hsa04929","GnRH secretion","0.00796019900497513"
"","GNAQ","2776","hsa04927","Cortisol synthesis and secretion","0.00808457711442789"
"","GNAQ","2776","hsa04720","Long-term potentiation","0.00833333333333341"
"","GNAQ","2776","hsa04924","Renin secretion","0.00858208955223894"
"","GNAQ","2776","hsa04918","Thyroid hormone synthesis","0.00932835820895528"
"","GNAQ","2776","hsa04971","Gastric acid secretion","0.00945273631840793"
"","GNAQ","2776","hsa04911","Insulin secretion","0.0106965174129352"
"","GNAQ","2776","hsa04540","Gap junction","0.0109452736318408"
"","GNAQ","2776","hsa04970","Salivary secretion","0.0113184079601991"
"","GNAQ","2776","hsa04912","GnRH signaling pathway","0.0115671641791045"
"","GNAQ","2776","hsa04713","Circadian entrainment","0.0120646766169155"
"","GNAQ","2776","hsa04925","Aldosterone synthesis and secretion","0.0121890547263681"
"","GNAQ","2776","hsa04750","Inflammatory mediator regulation of TRP channels","0.0124378109452737"
"","GNAQ","2776","hsa04916","Melanogenesis","0.0125621890547265"
"","GNAQ","2776","hsa04972","Pancreatic secretion","0.0126865671641793"
"","GNAQ","2776","hsa05142","Chagas disease (American trypanosomiasis)","0.0126865671641793"
"","GNAQ","2776","hsa05146","Amoebiasis","0.0126865671641793"
"","GNAQ","2776","hsa04922","Glucagon signaling pathway","0.0131840796019902"
"","GNAQ","2776","hsa04928","Parathyroid hormone synthesis, secretion and action","0.0131840796019902"
"","GNAQ","2776","hsa04725","Cholinergic synapse","0.0140547263681592"
"","GNAQ","2776","hsa04724","Glutamatergic synapse","0.0141791044776119"
"","GNAQ","2776","hsa04726","Serotonergic synapse","0.0143034825870648"
"","GNAQ","2776","hsa04071","Sphingolipid signaling pathway","0.0148009950248759"
"","GNAQ","2776","hsa04935","Growth hormone synthesis, secretion and action","0.0148009950248759"
"","GNAQ","2776","hsa04611","Platelet activation","0.0154228855721393"
"","GNAQ","2776","hsa04270","Vascular smooth muscle contraction","0.0164179104477612"
"","GNAQ","2776","hsa04728","Dopaminergic synapse","0.0164179104477612"
"","GNAQ","2776","hsa05017","Spinocerebellar ataxia","0.0165422885572138"
"","GNAQ","2776","hsa04371","Apelin signaling pathway","0.0170398009950251"
"","GNAQ","2776","hsa04915","Estrogen signaling pathway","0.0171641791044775"
"","GNAQ","2776","hsa04723","Retrograde endocannabinoid signaling","0.018407960199005"
"","GNAQ","2776","hsa04261","Adrenergic signaling in cardiomyocytes","0.0185323383084578"
"","GNAQ","2776","hsa04921","Oxytocin signaling pathway","0.0191542288557215"
"","GNAQ","2776","hsa04934","Cushing syndrome","0.0192786069651742"
"","GNAQ","2776","hsa04022","cGMP-PKG signaling pathway","0.0207711442786072"
"","GNAQ","2776","hsa04020","Calcium signaling pathway","0.0240049751243782"
"","GNAQ","2776","hsa04015","Rap1 signaling pathway","0.0261194029850746"
"","GNAQ","2776","hsa05170","Human immunodeficiency virus 1 infection","0.0263681592039802"
"","GNAQ","2776","hsa05163","Human cytomegalovirus infection","0.0279850746268657"
"","GNAQ","2776","hsa05016","Huntington disease","0.0380597014925372"
"","GNAQ","2776","hsa05010","Alzheimer disease","0.0458955223880598"
"","HGF","3082","hsa05144","Malaria","0.0062189054726367"
"","HGF","3082","hsa05211","Renal cell carcinoma","0.00858208955223894"
"","HGF","3082","hsa05218","Melanoma","0.00895522388059711"
"","HGF","3082","hsa01521","EGFR tyrosine kinase inhibitor resistance","0.00982587064676621"
"","HGF","3082","hsa05226","Gastric cancer","0.0185323383084578"
"","HGF","3082","hsa05225","Hepatocellular carcinoma","0.0208955223880598"
"","HGF","3082","hsa04510","Focal adhesion","0.025"
"","HGF","3082","hsa05205","Proteoglycans in cancer","0.0254975124378108"
"","HGF","3082","hsa04015","Rap1 signaling pathway","0.0261194029850746"
"","HGF","3082","hsa04014","Ras signaling pathway","0.0288557213930349"
"","HGF","3082","hsa04010","MAPK signaling pathway","0.0365671641791047"
"","HGF","3082","hsa04151","PI3K-Akt signaling pathway","0.0440298507462688"
"","HNF4A","3172","hsa04950","Maturity onset diabetes of the young","0.00323383084577122"
"","HNF4A","3172","hsa04152","AMPK signaling pathway","0.0149253731343284"
"","HSF1","3297","hsa05134","Legionellosis","0.00708955223880614"
"","HSPB1","3315","hsa04370","VEGF signaling pathway","0.00733830845771155"
"","HSPB1","3315","hsa05146","Amoebiasis","0.0126865671641793"
"","HSPB1","3315","hsa04010","MAPK signaling pathway","0.0365671641791047"
"","IAPP","3375","hsa04950","Maturity onset diabetes of the young","0.00323383084577122"
"","IAPP","3375","hsa04080","Neuroactive ligand-receptor interaction","0.0422885572139305"
"","IL2","3558","hsa05330","Allograft rejection","0.00472636815920413"
"","IL2","3558","hsa05332","Graft-versus-host disease","0.00509950248756219"
"","IL2","3558","hsa04940","Type I diabetes mellitus","0.0053482587064676"
"","IL2","3558","hsa04672","Intestinal immune network for IgA production","0.00609452736318417"
"","IL2","3558","hsa05320","Autoimmune thyroid disease","0.00659203980099499"
"","IL2","3558","hsa05321","Inflammatory bowel disease (IBD)","0.00808457711442789"
"","IL2","3558","hsa04658","Th1 and Th2 cell differentiation","0.0114427860696519"
"","IL2","3558","hsa04061","Viral protein interaction with cytokine and cytokine receptor","0.0124378109452737"
"","IL2","3558","hsa05142","Chagas disease (American trypanosomiasis)","0.0126865671641793"
"","IL2","3558","hsa04625","C-type lectin receptor signaling pathway","0.0129353233830845"
"","IL2","3558","hsa04660","T cell receptor signaling pathway","0.0129353233830845"
"","IL2","3558","hsa04659","Th17 cell differentiation","0.0133084577114427"
"","IL2","3558","hsa05135","Yersinia infection","0.0149253731343284"
"","IL2","3558","hsa05162","Measles","0.0171641791044775"
"","IL2","3558","hsa04630","JAK-STAT signaling pathway","0.0201492537313435"
"","IL2","3558","hsa05166","Human T-cell leukemia virus 1 infection","0.0272388059701493"
"","IL2","3558","hsa04060","Cytokine-cytokine receptor interaction","0.0365671641791047"
"","IL2","3558","hsa04151","PI3K-Akt signaling pathway","0.0440298507462688"
"","IL5","3567","hsa05310","Asthma","0.00385572139303481"
"","IL5","3567","hsa05330","Allograft rejection","0.00472636815920413"
"","IL5","3567","hsa04672","Intestinal immune network for IgA production","0.00609452736318417"
"","IL5","3567","hsa05320","Autoimmune thyroid disease","0.00659203980099499"
"","IL5","3567","hsa05321","Inflammatory bowel disease (IBD)","0.00808457711442789"
"","IL5","3567","hsa04664","Fc epsilon RI signaling pathway","0.00845771144278606"
"","IL5","3567","hsa04658","Th1 and Th2 cell differentiation","0.0114427860696519"
"","IL5","3567","hsa04657","IL-17 signaling pathway","0.0116915422885571"
"","IL5","3567","hsa04640","Hematopoietic cell lineage","0.012313432835821"
"","IL5","3567","hsa04660","T cell receptor signaling pathway","0.0129353233830845"
"","IL5","3567","hsa04630","JAK-STAT signaling pathway","0.0201492537313435"
"","IL5","3567","hsa04060","Cytokine-cytokine receptor interaction","0.0365671641791047"
"","KIF23","9493","hsa05206","MicroRNAs in cancer","0.0385572139303484"
"","KIF5A","3798","hsa04728","Dopaminergic synapse","0.0164179104477612"
"","KIF5A","3798","hsa04144","Endocytosis","0.0307213930348259"
"","KIF5A","3798","hsa05012","Parkinson disease","0.0309701492537314"
"","KIF5A","3798","hsa05016","Huntington disease","0.0380597014925372"
"","KIF5A","3798","hsa05010","Alzheimer disease","0.0458955223880598"
"","KIF5C","3800","hsa04728","Dopaminergic synapse","0.0164179104477612"
"","KIF5C","3800","hsa04144","Endocytosis","0.0307213930348259"
"","KIF5C","3800","hsa05012","Parkinson disease","0.0309701492537314"
"","KIF5C","3800","hsa05016","Huntington disease","0.0380597014925372"
"","KIF5C","3800","hsa05010","Alzheimer disease","0.0458955223880598"
"","LEF1","51176","hsa05216","Thyroid cancer","0.00460199004975126"
"","LEF1","51176","hsa05213","Endometrial cancer","0.00721393034825879"
"","LEF1","51176","hsa05217","Basal cell carcinoma","0.00783582089552237"
"","LEF1","51176","hsa05221","Acute myeloid leukemia","0.00833333333333341"
"","LEF1","51176","hsa04520","Adherens junction","0.00883084577114435"
"","LEF1","51176","hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","0.0095771144278608"
"","LEF1","51176","hsa05210","Colorectal cancer","0.0106965174129352"
"","LEF1","51176","hsa05215","Prostate cancer","0.0120646766169155"
"","LEF1","51176","hsa04916","Melanogenesis","0.0125621890547265"
"","LEF1","51176","hsa05224","Breast cancer","0.0182835820895524"
"","LEF1","51176","hsa05226","Gastric cancer","0.0185323383084578"
"","LEF1","51176","hsa04934","Cushing syndrome","0.0192786069651742"
"","LEF1","51176","hsa04390","Hippo signaling pathway","0.0195273631840797"
"","LEF1","51176","hsa04310","Wnt signaling pathway","0.0199004975124379"
"","LEF1","51176","hsa05225","Hepatocellular carcinoma","0.0208955223880598"
"","LEF1","51176","hsa05132","Salmonella infection","0.0266169154228858"
"","MAG","4099","hsa04514","Cell adhesion molecules (CAMs)","0.018407960199005"
"","MAX","4149","hsa05222","Small cell lung cancer","0.0114427860696519"
"","MAX","4149","hsa05202","Transcriptional misregulation in cancer","0.0231343283582092"
"","MAX","4149","hsa04010","MAPK signaling pathway","0.0365671641791047"
"","MDM4","4194","hsa04115","p53 signaling pathway","0.00895522388059711"
"","MDM4","4194","hsa05206","MicroRNAs in cancer","0.0385572139303484"
"","MGAT2","4247","hsa00513","Various types of N-glycan biosynthesis","0.00485074626865667"
"","MGAT2","4247","hsa00510","N-Glycan biosynthesis","0.0062189054726367"
"","MRE11","4361","hsa03450","Non-homologous end-joining","0.00161691542288567"
"","MRE11","4361","hsa03440","Homologous recombination","0.00509950248756219"
"","MRE11","4361","hsa04218","Cellular senescence","0.0199004975124379"
"","NCOA2","10499","hsa04919","Thyroid hormone signaling pathway","0.0150497512437812"
"","NCOA2","10499","hsa04915","Estrogen signaling pathway","0.0171641791044775"
"","NCOR1","9611","hsa01522","Endocrine resistance","0.0121890547263681"
"","NCOR1","9611","hsa04919","Thyroid hormone signaling pathway","0.0150497512437812"
"","NCOR1","9611","hsa05202","Transcriptional misregulation in cancer","0.0231343283582092"
"","NCOR2","9612","hsa04330","Notch signaling pathway","0.00659203980099499"
"","NCOR2","9612","hsa05169","Epstein-Barr virus infection","0.025"
"","NGF","4803","hsa04750","Inflammatory mediator regulation of TRP channels","0.0124378109452737"
"","NGF","4803","hsa04722","Neurotrophin signaling pathway","0.0148009950248759"
"","NGF","4803","hsa04210","Apoptosis","0.0169154228855722"
"","NGF","4803","hsa04015","Rap1 signaling pathway","0.0261194029850746"
"","NGF","4803","hsa04014","Ras signaling pathway","0.0288557213930349"
"","NGF","4803","hsa04010","MAPK signaling pathway","0.0365671641791047"
"","NGF","4803","hsa04060","Cytokine-cytokine receptor interaction","0.0365671641791047"
"","NGF","4803","hsa04151","PI3K-Akt signaling pathway","0.0440298507462688"
"","NLRP3","114548","hsa05133","Pertussis","0.00945273631840793"
"","NLRP3","114548","hsa04625","C-type lectin receptor signaling pathway","0.0129353233830845"
"","NLRP3","114548","hsa05135","Yersinia infection","0.0149253731343284"
"","NLRP3","114548","hsa04217","Necroptosis","0.0197761194029852"
"","NLRP3","114548","hsa05164","Influenza A","0.0211442786069652"
"","NLRP3","114548","hsa04621","NOD-like receptor signaling pathway","0.0225124378109454"
"","NLRP3","114548","hsa05130","Pathogenic Escherichia coli infection","0.0251243781094528"
"","NLRP3","114548","hsa05132","Salmonella infection","0.0266169154228858"
"","NLRP3","114548","hsa05131","Shigellosis","0.0297263681592042"
"","NNMT","4837","hsa00760","Nicotinate and nicotinamide metabolism","0.00460199004975126"
"","NPC1","4864","hsa04979","Cholesterol metabolism","0.0062189054726367"
"","NPC1","4864","hsa04142","Lysosome","0.0159203980099502"
"","PANK1","53354","hsa00770","Pantothenate and CoA biosynthesis","0.00236318407960201"
"","PANK2","80025","hsa00770","Pantothenate and CoA biosynthesis","0.00236318407960201"
"","PANK3","79646","hsa00770","Pantothenate and CoA biosynthesis","0.00236318407960201"
"","PCNA","5111","hsa03430","Mismatch repair","0.00286069651741294"
"","PCNA","5111","hsa03410","Base excision repair","0.00410447761194033"
"","PCNA","5111","hsa03030","DNA replication","0.00447761194029861"
"","PCNA","5111","hsa03420","Nucleotide excision repair","0.00584577114427864"
"","PCNA","5111","hsa04110","Cell cycle","0.0154228855721393"
"","PCNA","5111","hsa05161","Hepatitis B","0.0201492537313435"
"","PCNA","5111","hsa04530","Tight junction","0.0210199004975126"
"","PDCD4","27250","hsa05205","Proteoglycans in cancer","0.0254975124378108"
"","PDCD4","27250","hsa05206","MicroRNAs in cancer","0.0385572139303484"
"","PGAM1","5223","hsa00260","Glycine, serine and threonine metabolism","0.00497512437810943"
"","PGAM1","5223","hsa00010","Glycolysis / Gluconeogenesis","0.00845771144278606"
"","PGAM1","5223","hsa05230","Central carbon metabolism in cancer","0.00858208955223894"
"","PGAM1","5223","hsa01230","Biosynthesis of amino acids","0.00932835820895528"
"","PGAM1","5223","hsa04922","Glucagon signaling pathway","0.0131840796019902"
"","PGAM1","5223","hsa01200","Carbon metabolism","0.0145522388059701"
"","PPT1","5538","hsa00062","Fatty acid elongation","0.00335820895522398"
"","PPT1","5538","hsa01212","Fatty acid metabolism","0.00708955223880614"
"","PPT1","5538","hsa04142","Lysosome","0.0159203980099502"
"","RAC1","5879","hsa05014","Amyotrophic lateral sclerosis (ALS)","0.00708955223880614"
"","RAC1","5879","hsa04370","VEGF signaling pathway","0.00733830845771155"
"","RAC1","5879","hsa05416","Viral myocarditis","0.00746268656716431"
"","RAC1","5879","hsa04664","Fc epsilon RI signaling pathway","0.00845771144278606"
"","RAC1","5879","hsa05211","Renal cell carcinoma","0.00858208955223894"
"","RAC1","5879","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","0.00870646766169159"
"","RAC1","5879","hsa04520","Adherens junction","0.00883084577114435"
"","RAC1","5879","hsa05100","Bacterial invasion of epithelial cells","0.00907960199004987"
"","RAC1","5879","hsa05212","Pancreatic cancer","0.00945273631840793"
"","RAC1","5879","hsa04662","B cell receptor signaling pathway","0.0101990049751243"
"","RAC1","5879","hsa05210","Colorectal cancer","0.0106965174129352"
"","RAC1","5879","hsa04666","Fc gamma R-mediated phagocytosis","0.0115671641791045"
"","RAC1","5879","hsa05231","Choline metabolism in cancer","0.0121890547263681"
"","RAC1","5879","hsa04933","AGE-RAGE signaling pathway in diabetic complications","0.0124378109452737"
"","RAC1","5879","hsa04972","Pancreatic secretion","0.0126865671641793"
"","RAC1","5879","hsa04620","Toll-like receptor signaling pathway","0.0129353233830845"
"","RAC1","5879","hsa04670","Leukocyte transendothelial migration","0.0140547263681592"
"","RAC1","5879","hsa04071","Sphingolipid signaling pathway","0.0148009950248759"
"","RAC1","5879","hsa04722","Neurotrophin signaling pathway","0.0148009950248759"
"","RAC1","5879","hsa05135","Yersinia infection","0.0149253731343284"
"","RAC1","5879","hsa04380","Osteoclast differentiation","0.0159203980099502"
"","RAC1","5879","hsa04650","Natural killer cell mediated cytotoxicity","0.0162935323383085"
"","RAC1","5879","hsa05418","Fluid shear stress and atherosclerosis","0.0172885572139305"
"","RAC1","5879","hsa04932","Non-alcoholic fatty liver disease (NAFLD)","0.0185323383084578"
"","RAC1","5879","hsa04145","Phagosome","0.0189054726368162"
"","RAC1","5879","hsa04310","Wnt signaling pathway","0.0199004975124379"
"","RAC1","5879","hsa04530","Tight junction","0.0210199004975126"
"","RAC1","5879","hsa04360","Axon guidance","0.0225124378109454"
"","RAC1","5879","hsa04062","Chemokine signaling pathway","0.0235074626865672"
"","RAC1","5879","hsa05167","Kaposi sarcoma-associated herpesvirus infection","0.0235074626865672"
"","RAC1","5879","hsa04510","Focal adhesion","0.025"
"","RAC1","5879","hsa05169","Epstein-Barr virus infection","0.025"
"","RAC1","5879","hsa05130","Pathogenic Escherichia coli infection","0.0251243781094528"
"","RAC1","5879","hsa05203","Viral carcinogenesis","0.0253731343283583"
"","RAC1","5879","hsa05205","Proteoglycans in cancer","0.0254975124378108"
"","RAC1","5879","hsa04015","Rap1 signaling pathway","0.0261194029850746"
"","RAC1","5879","hsa05170","Human immunodeficiency virus 1 infection","0.0263681592039802"
"","RAC1","5879","hsa04810","Regulation of actin cytoskeleton","0.0264925373134329"
"","RAC1","5879","hsa05132","Salmonella infection","0.0266169154228858"
"","RAC1","5879","hsa04024","cAMP signaling pathway","0.026865671641791"
"","RAC1","5879","hsa05163","Human cytomegalovirus infection","0.0279850746268657"
"","RAC1","5879","hsa04014","Ras signaling pathway","0.0288557213930349"
"","RAC1","5879","hsa05131","Shigellosis","0.0297263681592042"
"","RAC1","5879","hsa04010","MAPK signaling pathway","0.0365671641791047"
"","RAC1","5879","hsa04151","PI3K-Akt signaling pathway","0.0440298507462688"
"","RAD1","5810","hsa04218","Cellular senescence","0.0199004975124379"
"","RAD51","5888","hsa03440","Homologous recombination","0.00509950248756219"
"","RAD51","5888","hsa03460","Fanconi anemia pathway","0.00671641791044775"
"","RAD51","5888","hsa05212","Pancreatic cancer","0.00945273631840793"
"","RAMP3","10268","hsa04270","Vascular smooth muscle contraction","0.0164179104477612"
"","RAP1A","5906","hsa04720","Long-term potentiation","0.00833333333333341"
"","RAP1A","5906","hsa05211","Renal cell carcinoma","0.00858208955223894"
"","RAP1A","5906","hsa04972","Pancreatic secretion","0.0126865671641793"
"","RAP1A","5906","hsa04670","Leukocyte transendothelial migration","0.0140547263681592"
"","RAP1A","5906","hsa04722","Neurotrophin signaling pathway","0.0148009950248759"
"","RAP1A","5906","hsa04611","Platelet activation","0.0154228855721393"
"","RAP1A","5906","hsa04934","Cushing syndrome","0.0192786069651742"
