"","ProtClass","Target","Molecule","Scaffold"
"60","Secreted protein","CO3","WGQRWXBFHFOWBH-SORWEXASSA-N","Sca68626"
"61","Secreted protein","CO3","OCTUQYZUSWCCJV-NWJDZPOUSA-N","Sca68747"
"62","Secreted protein","CO3","ZTPZPGGQKAOPSL-ULRAUGTQSA-N","Sca37540"
"63","Secreted protein","CO3","XGCKHIOYCGKJPR-BJLIEENSSA-N","Sca29396"
"64","Secreted protein","CO3","BFGQANAKHJAOQY-UZUHPOSNSA-N","Sca68768"
"65","Secreted protein","CO3","BZCORVKMPCMYEF-STXTTYQKSA-N","Sca37540"
"66","Secreted protein","CO3","KSDNMEGNCSHTNC-MZUDAGKNSA-N","Sca37540"
"67","Secreted protein","CO3","ONZALKRWJBRGHJ-VJHZTZQRSA-N","Sca37540"
"68","Secreted protein","VEGFA","OLXQPAZGLQOODL-IKZWPYSWSA-N","Sca198736"
"69","Secreted protein","VEGFA","SHSVXUUTGUMFAP-YUYZBOOHSA-N","Sca198736"
"70","Secreted protein","VEGFA","HTKROCJPURXVPK-XQEOLWBSSA-N","Sca198736"
"71","Secreted protein","VEGFA","SHSVXUUTGUMFAP-UOZKOTSUSA-N","Sca198736"
"72","Secreted protein","IL8","RJQUTNJNKSGMHW-UHFFFAOYSA-N","Sca7"
"73","Secreted protein","IL8","JSJQNYIFLKCXRE-UHFFFAOYSA-N","Sca7"
"74","Secreted protein","IL8","DKYWVDODHFEZIM-LLVKDONJSA-N","Sca7"
"75","Secreted protein","IL8","BHTKZBRKFXIRTQ-UHFFFAOYSA-N","Sca833"
"76","Secreted protein","IL8","GZRAEWKMFPWXNW-UHFFFAOYSA-N","Sca7"
"77","Secreted protein","IL8","YUOKWIGKXGRGFG-UHFFFAOYSA-N","Sca7"
"78","Secreted protein","IL8","UWYFNSWZGGGISG-UHFFFAOYSA-N","Sca7"
"79","Secreted protein","IL8","ZNEWAVGEUAWOBQ-UHFFFAOYSA-N","Sca7"
"80","Secreted protein","IL8","UPSPUYADGBWSHF-UHFFFAOYSA-N","Sca96"
"81","Secreted protein","IL8","JFKGYWDDZQSVLS-UHFFFAOYSA-N","Sca7"
"82","Secreted protein","IL8","QKZXQNPQDHXWTI-UHFFFAOYSA-N","Sca7"
"83","Secreted protein","IL8","CGIGDMFJXJATDK-UHFFFAOYSA-N","Sca150"
"84","Secreted protein","IL8","SGDMCGKLCOGZJM-UHFFFAOYSA-N","Sca7"
"85","Secreted protein","IL8","RXRLPBIKRNGLJD-UHFFFAOYSA-N","Sca7"
"86","Secreted protein","IL8","DWKOQWOOVUATNI-UHFFFAOYSA-N","Sca7"
"87","Secreted protein","IL8","DCOPUUMXTXDBNB-UHFFFAOYSA-N","Sca7"
"88","Secreted protein","IL8","SYANOAWCBFRXNL-UHFFFAOYSA-N","Sca7"
"89","Secreted protein","IL8","LAVKHAMQQVBXLL-UHFFFAOYSA-N","Sca7"
"90","Secreted protein","TNFA","OQYZIYPFVVFPRU-GDLZYMKVSA-N","Sca264383"
"91","Secreted protein","TNFA","WOLQHVZEGNOPMB-WJOKGBTCSA-N","Sca163817"
"92","Secreted protein","TNFA","OMAZILQNKVQPEO-HSZRJFAPSA-N","Sca163818"
"93","Secreted protein","TNFA","RGMDTCMAVVGYIV-OAQYLSRUSA-N","Sca150079"
"94","Secreted protein","TNFA","FMOVYXGCLYORLQ-HXUWFJFHSA-N","Sca150079"
"95","Secreted protein","TNFA","WRRSXVWQBFKQBS-SSEXGKCCSA-N","Sca163870"
"96","Secreted protein","TNFA","LYGXFMJLULPLBO-AREMUKBSSA-N","Sca264427"
"97","Secreted protein","TNFA","WNZOADFTOPLTQV-WJOKGBTCSA-N","Sca264425"
"98","Secreted protein","TNFA","HPEOJGLCIZIGJQ-CXMIBLNGSA-N","Sca264434"
"99","Secreted protein","TNFA","RSQDMFYFNPIIIT-SSEXGKCCSA-N","Sca163818"
"100","Secreted protein","TNFA","PHONOUNKMXTVTN-IQHZPMLTSA-N","Sca163818"
"101","Secreted protein","TNFA","OMKVYAUUSVBLPP-HHHXNRCGSA-N","Sca163807"
"102","Secreted protein","TNFA","JJTDVNDGNHAAAP-RUZDIDTESA-N","Sca163807"
"103","Secreted protein","TNFA","FTYGFTJCDYQDIT-MUUNZHRXSA-N","Sca163818"
"104","Secreted protein","TNFA","VEGCFYBYHUBMBE-HXUWFJFHSA-N","Sca150079"
"105","Secreted protein","TNFA","OXTWJLIPMPPOKM-XIYZBIRNSA-N","Sca163818"
"106","Secreted protein","TNFA","XKXVGWOVIODBRL-JOCHJYFZSA-N","Sca150079"
"107","Secreted protein","TNFA","JQKBKFPSZFKMLG-LMNIDFBRSA-N","Sca150079"
"108","Secreted protein","TNFA","DLTQLMLJNKCBBV-MUUNZHRXSA-N","Sca163818"
"109","Secreted protein","TNFA","ZCQRHPCSSGONHI-PIFIWZBESA-N","Sca265743"
"110","Secreted protein","TNFA","GGPXLHYDQPCFCQ-AREMUKBSSA-N","Sca163807"
"111","Secreted protein","TNFA","HANQVDCLBVUIGH-AREMUKBSSA-N","Sca264364"
"112","Secreted protein","TNFA","OCBISIUSASRRNI-HMKWYMSDSA-N","Sca163818"
"113","Secreted protein","TNFA","XWCQRCLFILIQQX-GBAZGAGXSA-N","Sca163818"
"114","Secreted protein","TNFA","ACOGEAXTLFMFSL-MUUNZHRXSA-N","Sca264407"
"115","Secreted protein","TNFA","FGJZSWDGDSXICO-RUZDIDTESA-N","Sca265741"
"116","Secreted protein","TNFA","XKHWVHRDDPYEIL-OAQYLSRUSA-N","Sca150079"
"117","Secreted protein","TNFA","SVGQYRXZFQAFIP-AREMUKBSSA-N","Sca163807"
"118","Secreted protein","TNFA","RSAOCRFROSNMIB-XMMPIXPASA-N","Sca163818"
"119","Secreted protein","TNFA","DCLSJRWOCDHCHG-XMMPIXPASA-N","Sca163818"
"120","Secreted protein","TNFA","NPJFEKTVEKKYHY-GDLZYMKVSA-N","Sca163818"
"121","Secreted protein","TNFA","BHYQQGWCRAFAQI-HHHXNRCGSA-N","Sca163807"
"122","Secreted protein","TNFA","QTTNAAKOASFNFL-OAQYLSRUSA-N","Sca150079"
"123","Secreted protein","TNFA","OAMXMFDXINASMJ-FQEVSTJZSA-N","Sca150079"
"124","Secreted protein","TNFA","BKKNBCQLEKOTQY-HHHXNRCGSA-N","Sca163807"
"125","Secreted protein","TNFA","VBUPEIGDURMZFH-DCWQJPKNSA-N","Sca265734"
"126","Secreted protein","TNFA","HJEQYNGQEIKJKU-HSZRJFAPSA-N","Sca163807"
"127","Secreted protein","TNFA","MTKNYTGDPXYECA-RUZDIDTESA-N","Sca163807"
"128","Secreted protein","TNFA","ZMXYWILPEQWXIY-NRFANRHFSA-N","Sca150079"
"129","Secreted protein","TNFA","ZSQVLSURZLUYJB-SSEXGKCCSA-N","Sca265722"
"130","Secreted protein","TNFA","AXMVMINLDAIJSJ-SSYAZFEXSA-N","Sca265765"
"131","Secreted protein","TNFA","LFLMYHYALFHVBP-XMMPIXPASA-N","Sca264357"
"132","Secreted protein","TNFA","YXXWEEAKJZRXJL-GJQLDDCUSA-N","Sca264434"
"133","Secreted protein","TNFA","JRFQESPJRPNADM-AREMUKBSSA-N","Sca264407"
"134","Secreted protein","TNFA","QDRLGYPSQXQAKG-ZWAGFTRDSA-N","Sca163818"
"135","Secreted protein","TNFA","FHWXPSSHZKKOPF-PSXMRANNSA-N","Sca164015"
"136","Secreted protein","TNFA","KCIXKFMCBFMZMS-ZWAGFTRDSA-N","Sca163807"
"137","Secreted protein","TNFA","KMOYCKBJTBAAON-HHHXNRCGSA-N","Sca264407"
"138","Secreted protein","TNFA","OFTHGWAFADRYEA-AVJYQCBHSA-N","Sca265812"
"139","Secreted protein","TNFA","RPPIDNCOXVAYRI-WUBHUQEYSA-N","Sca163818"
"140","Secreted protein","TNFA","RRQAZVHTWDKNLU-SGANQWHYSA-N","Sca264407"
"141","Secreted protein","TNFA","SPFZYFGGFOBYLL-HSZRJFAPSA-N","Sca264360"
"142","Secreted protein","TNFA","OXSAFTOGQDRQTH-HXUWFJFHSA-N","Sca150079"
"143","Secreted protein","TNFA","LKAXKNIZWUKZSQ-FYEOKJGGSA-N","Sca163817"
"144","Secreted protein","TNFA","JYAFYSVNZMUUKS-JOCHJYFZSA-N","Sca163977"
"145","Secreted protein","TNFA","VUPOFUMNCVYNKF-HSZRJFAPSA-N","Sca163818"
"146","Secreted protein","TNFA","PMXSSNJPHGKQIW-CXMIBLNGSA-N","Sca264434"
"147","Secreted protein","TNFA","WBNUPTOIIQAHFH-IQHZPMLTSA-N","Sca163807"
"148","Secreted protein","TNFA","YULZLMCWKDYBTR-CLJLJLNGSA-N","Sca265734"
"149","Secreted protein","TNFA","JXDSXUFGGQKQNQ-PGUFJCEWSA-N","Sca163870"
"150","Secreted protein","TNFA","PXHXILLZZLRNFG-OAHLLOKOSA-N","Sca1462"
"151","Secreted protein","TNFA","RIICPUAERNETRR-LTFVAXTNSA-N","Sca163818"
"152","Secreted protein","TNFA","GKEDTIQTQJSZAC-HSZRJFAPSA-N","Sca150079"
"153","Secreted protein","TNFA","CIMXKGKYBNXAKQ-HSZRJFAPSA-N","Sca150079"
"154","Secreted protein","TNFA","JHQDPOJGNRKTCM-UHFFFAOYSA-N","Sca163818"
"155","Secreted protein","TNFA","PLRQMLGGHVGNLG-IBGZPJMESA-N","Sca150079"
"156","Secreted protein","TNFA","ZLMBQXBPWAMCGZ-MUUNZHRXSA-N","Sca163976"
"157","Secreted protein","TNFA","VYWJLZPDNVYLSL-HSZRJFAPSA-N","Sca163807"
"158","Secreted protein","TNFA","STKXMBDDSALGPM-HSZRJFAPSA-N","Sca150079"
"159","Secreted protein","TNFA","UFDVOXPVFWMEPY-HSZRJFAPSA-N","Sca163807"
"160","Secreted protein","TNFA","BIGYRHJUKPILKR-KKLWWLSJSA-N","Sca265739"
"161","Secreted protein","TNFA","BIGYRHJUKPILKR-KKLWWLSJSA-N","Sca265737"
"162","Secreted protein","TNFA","XTIYAPBWPWJQGE-WJOKGBTCSA-N","Sca163870"
"163","Secreted protein","TNFA","APHLZAGMJQWDLY-MGBGTMOVSA-N","Sca163870"
"164","Secreted protein","TNFA","YBOJHJQUOKIBQQ-SSEXGKCCSA-N","Sca163870"
"165","Secreted protein","TNFA","HUYCTIMCXRMSCV-UHFFFAOYSA-N","Sca150079"
"166","Secreted protein","TNFA","QBPCTSZUDAHVBN-XMMPIXPASA-N","Sca150079"
"167","Secreted protein","TNFA","GHICPYYNSUEXJC-IBMMVDHNSA-N","Sca163818"
"168","Secreted protein","TNFA","LQDVPSDWUMXYTM-SSEXGKCCSA-N","Sca264459"
"169","Secreted protein","TNFA","GSNMAQWJDMMLEX-HHHXNRCGSA-N","Sca163807"
"170","Secreted protein","TNFA","LQBOVZZQRYSXMM-JGCGQSQUSA-N","Sca163817"
"171","Secreted protein","TNFA","RRQAZVHTWDKNLU-ODCWNRFASA-N","Sca264407"
"172","Secreted protein","TNFA","PPORCIFWDHCTSP-RUZDIDTESA-N","Sca163818"
"173","Secreted protein","TNFA","OVFYIUKIFLOISO-HXUWFJFHSA-N","Sca150079"
"174","Secreted protein","TNFA","IMPRTVZADIUKIF-LJQANCHMSA-N","Sca150079"
"175","Secreted protein","TNFA","JXUJWTDWBHFDPM-SSEXGKCCSA-N","Sca264392"
"176","Secreted protein","TNFA","YOUPVMZNCSLKQC-UUWRZZSWSA-N","Sca163870"
"177","Secreted protein","TNFA","VMUSYVTUICEWGF-XMMISQBUSA-N","Sca163807"
"178","Secreted protein","TNFA","JISPOIZPNBJWKP-YPVFFKKOSA-N","Sca163818"
"179","Secreted protein","TNFA","GUOOARDVBFVSBV-JOCHJYFZSA-N","Sca150079"
"180","Secreted protein","TNFA","VEBZJOJBQZPEIO-HHHXNRCGSA-N","Sca163807"
"181","Secreted protein","TNFA","QLFVYQZANSTHDO-HXUWFJFHSA-N","Sca150079"
"182","Secreted protein","TNFA","YNTFAZSVLXOQTI-RUZDIDTESA-N","Sca163807"
"183","Secreted protein","TNFA","CXXGOKXVDBAGFV-CFLNXXHPSA-N","Sca163818"
"184","Secreted protein","TNFA","GOXFEWXSLQJDRY-NRFANRHFSA-N","Sca150079"
"185","Secreted protein","TNFA","WNNKWLPJIVJPIG-HHHXNRCGSA-N","Sca163976"
"186","Secreted protein","TNFA","JPSFKRZRXRUYJN-JOCHJYFZSA-N","Sca264372"
"187","Secreted protein","TNFA","MMXWWFALWYCHLP-SSEXGKCCSA-N","Sca265720"
"188","Secreted protein","TNFA","DGFLUWCVPLUGKX-XMMPIXPASA-N","Sca163818"
"189","Secreted protein","TNFA","NEXBICIFHWLETE-HSZRJFAPSA-N","Sca264375"
"190","Secreted protein","TNFA","LSNWVSIFUCSPGI-HHHXNRCGSA-N","Sca264407"
"191","Secreted protein","TNFA","CQYNQICIXCKTTL-JGCGQSQUSA-N","Sca163870"
"192","Secreted protein","TNFA","LGXHYZWFJWVNCL-GDLZYMKVSA-N","Sca163818"
"193","Secreted protein","TNFA","WETKCAYYSUZHAX-ITCMONMYSA-N","Sca163818"
"194","Secreted protein","TNFA","OLTZXHFVBSAVFE-SSEXGKCCSA-N","Sca264399"
"195","Secreted protein","TNFA","NIFYSIPRCAERMK-XMMPIXPASA-N","Sca163818"
"196","Secreted protein","TNFA","JVMVFKOFVVLBAY-IKOFQBKESA-N","Sca163818"
"197","Secreted protein","TNFA","PXWWREGTHRMBOH-UHFFFAOYSA-N","Sca163807"
"198","Secreted protein","TNFA","DPNXFCNWZPIWBE-WJOKGBTCSA-N","Sca163870"
"199","Secreted protein","TNFA","ZBHVIEDBNRUBOM-RUZDIDTESA-N","Sca264407"
"200","Secreted protein","TNFA","HRLZVKOGFPSGEE-GBAZGAGXSA-N","Sca163818"
"201","Secreted protein","TNFA","SSCTWNVPCAPXGN-WJOKGBTCSA-N","Sca163870"
"202","Secreted protein","TNFA","ZFULWCJCMWQZEQ-GDLZYMKVSA-N","Sca264436"
"203","Secreted protein","TNFA","ZANPSDXWLYKCQF-AREMUKBSSA-N","Sca163807"
"204","Secreted protein","TNFA","MGIPMELJIIROIN-RUZDIDTESA-N","Sca163818"
"205","Secreted protein","TNFA","YNHOGVHHPMDFDF-MUUNZHRXSA-N","Sca163818"
"206","Secreted protein","TNFA","CJKFIQYSCFUFPA-RUZDIDTESA-N","Sca163818"
"207","Secreted protein","TNFA","RWIZIWYAMRPNPD-UHFFFAOYSA-N","Sca163818"
"208","Secreted protein","TNFA","NKSBXHIDWFDHKE-JOCHJYFZSA-N","Sca163977"
"209","Secreted protein","TNFA","UFSWRYZRPXSFGW-ITCMONMYSA-N","Sca163818"
"210","Secreted protein","TNFA","RAOTUDZYHGTWDV-DCWQJPKNSA-N","Sca163818"
"211","Secreted protein","TNFA","YBXAPBCXGHVKOC-NPRFROTHSA-N","Sca264453"
"212","Secreted protein","TNFA","LZGXRCVRZKUPAC-RUZDIDTESA-N","Sca163807"
"213","Secreted protein","TNFA","MKBKLAKFLDPFNW-JOCHJYFZSA-N","Sca150079"
"214","Secreted protein","TNFA","LQQYSWQPHNJQBF-OAQYLSRUSA-N","Sca150079"
"215","Secreted protein","TNFA","YYHHTNFLRDIRJO-HSZRJFAPSA-N","Sca264369"
"216","Secreted protein","TNFA","LZYIDYXVYYUPQS-HSZRJFAPSA-N","Sca163818"
"217","Secreted protein","TNFA","OYOALWYHSLCCJW-AREMUKBSSA-N","Sca163807"
"218","Secreted protein","TNFA","RJETXMQQQFDNJK-SNSSHHSLSA-N","Sca265815"
"219","Secreted protein","TNFA","QKXVYRQVCUTSOJ-ZWAGFTRDSA-N","Sca163818"
"220","Secreted protein","TNFA","VZVTWRJKICLKJI-JOCHJYFZSA-N","Sca150079"
"221","Secreted protein","TNFA","RYOVKXCBDJGFCU-WJOKGBTCSA-N","Sca163870"
"222","Secreted protein","TNFA","BGNBWOMBZYXIEI-HHHXNRCGSA-N","Sca163807"
"223","Secreted protein","TNFA","ILXWMFLAZLGKIG-XMMPIXPASA-N","Sca163807"
"224","Secreted protein","TNFA","YJQZOBOIFSLTNH-PLYLYKGUSA-N","Sca265765"
"225","Secreted protein","TNFA","ATUIUMZYBUFUGD-HHHXNRCGSA-N","Sca163807"
"226","Secreted protein","TNFA","JVMVFKOFVVLBAY-JWQCQUIFSA-N","Sca163818"
"227","Secreted protein","TNFA","NBZMNVFAMQINFG-IQHZPMLTSA-N","Sca163807"
"228","Secreted protein","TNFA","ZPAIQTBIQOULME-JGCGQSQUSA-N","Sca163870"
"229","Secreted protein","TNFA","CWPBQRYUCKYTPW-YHAMSUFESA-N","Sca264407"
"230","Secreted protein","TNFA","IVLZUHBTPCDTME-HOINCLMKSA-N","Sca163818"
"231","Secreted protein","TNFA","QWVJPWCHKKVNDF-XMMPIXPASA-N","Sca163818"
"232","Secreted protein","TNFA","BXMUWDBSIJWNKS-SSEXGKCCSA-N","Sca264450"
"233","Secreted protein","TNFA","WZLNARRACXABPD-OAQYLSRUSA-N","Sca265753"
"234","Secreted protein","TNFA","WWACVARGRGARLP-XMMPIXPASA-N","Sca264357"
"235","Secreted protein","TNFA","OHIKFHUFYCONMB-RUZDIDTESA-N","Sca163807"
"236","Secreted protein","TNFA","QQEIDFSHQUMVQD-SSEXGKCCSA-N","Sca163870"
"237","Secreted protein","TNFA","BUHNLEMZUNHEGZ-AREMUKBSSA-N","Sca163818"
"238","Secreted protein","TNFA","VLHCVRXTEYYSJY-XMMPIXPASA-N","Sca163818"
"239","Secreted protein","TNFA","PHAVOBFSAQCHQY-OAQYLSRUSA-N","Sca150079"
"240","Secreted protein","TNFA","PNNBPQPPTLUIHB-HSZRJFAPSA-N","Sca163807"
"241","Secreted protein","TNFA","GLMVHKDHYPQGMA-LDCRUHPQSA-N","Sca264434"
"242","Secreted protein","TNFA","FQFIEDYMVAVRHW-HSZRJFAPSA-N","Sca150079"
"243","Secreted protein","TNFA","GDGLTZNCEUOVQE-RUZDIDTESA-N","Sca163807"
"244","Secreted protein","TNFA","RPJWGBJYXNRHKM-JOCHJYFZSA-N","Sca150079"
"245","Secreted protein","TNFA","CSONHTMNMXKJEM-WJOKGBTCSA-N","Sca163818"
"246","Secreted protein","TNFA","AGWVLDJTVGFXDB-UHFFFAOYSA-N","Sca150079"
"247","Secreted protein","TNFA","NTDXUGWDNZPVGF-HXUWFJFHSA-N","Sca150079"
"248","Secreted protein","TNFA","HUPOKPFSIDAEKF-JGCGQSQUSA-N","Sca163870"
"249","Secreted protein","TNFA","KJPILHRRGVCLOD-RUZDIDTESA-N","Sca163807"
"250","Secreted protein","TNFA","PTJFEZGVOZFPNY-UIDYPRJRSA-N","Sca265743"
"251","Secreted protein","TNFA","RCABBFQFVTXYOF-HHHXNRCGSA-N","Sca163807"
"252","Secreted protein","TNFA","XVSOIEREWFSDJJ-DBTLDAOKSA-N","Sca163818"
"253","Secreted protein","TNFA","BNKHRAPZEMJCHK-XMMPIXPASA-N","Sca150079"
"254","Secreted protein","TNFA","YERYUZRAJFJVJM-OAQYLSRUSA-N","Sca265816"
"255","Secreted protein","TNFA","ZNTGPYZFJXZCSM-SSEXGKCCSA-N","Sca163870"
"256","Secreted protein","TNFA","ZOGUQILNEUWWNL-WUBHUQEYSA-N","Sca163818"
"257","Secreted protein","TNFA","LWEWMTRXAFDNSH-IQHZPMLTSA-N","Sca163818"
"258","Secreted protein","TNFA","GJNUYPRSINEEDI-JOCHJYFZSA-N","Sca163977"
"259","Secreted protein","TNFA","UHKRAXVHYITONX-HHHXNRCGSA-N","Sca163818"
"260","Secreted protein","TNFA","FHQOELRDJQXJGC-YFBVDTCKSA-N","Sca265815"
"261","Secreted protein","TNFA","NAISYEGRZYFSNR-VCHQGTEKSA-N","Sca163817"
"262","Secreted protein","TNFA","GNXUVQQPJKTEIJ-HSZRJFAPSA-N","Sca163807"
"263","Secreted protein","TNFA","YRQXTHXMHPBGAB-WJOKGBTCSA-N","Sca163870"
"264","Secreted protein","TNFA","CWPBQRYUCKYTPW-AKJBCIBTSA-N","Sca264407"
"265","Secreted protein","TNFA","AVFGPILHNKXGGS-GMTYSHBUSA-N","Sca265779"
"266","Secreted protein","TNFA","NSKDLLYTWJVRPJ-JGCGQSQUSA-N","Sca163870"
"267","Secreted protein","TNFA","PANZEYSWCBBJCM-HHHXNRCGSA-N","Sca265809"
"268","Secreted protein","TNFA","HROBHOUPYNGDEP-XMMPIXPASA-N","Sca264407"
"269","Secreted protein","TNFA","CYDOZHIVEFAYQX-SSEXGKCCSA-N","Sca264454"
"270","Secreted protein","TNFA","FEZUQXUOGDZSQE-RUZDIDTESA-N","Sca163818"
"271","Secreted protein","TNFA","IPVXJEWAHXFHHP-JOCHJYFZSA-N","Sca264364"
"272","Secreted protein","TNFA","SIRBGHPLECKFTR-HHHXNRCGSA-N","Sca264407"
"273","Secreted protein","TNFA","QDUZJQJFIIPLHV-IQHZPMLTSA-N","Sca163807"
"274","Secreted protein","TNFA","UKTPYPTWWZETGI-MUUNZHRXSA-N","Sca163818"
"275","Secreted protein","TNFA","QNZRTJWRJTWXMA-OABVPOGTSA-N","Sca163818"
"276","Secreted protein","TNFA","YUGMBDCSAGEZFY-SNSSHHSLSA-N","Sca163817"
"277","Secreted protein","TNFA","XWTHLNYMIRYTKN-MUUNZHRXSA-N","Sca163818"
