ProtClass,Target,Molecule,ScaID
Other cytosolic protein,HS90A,UFBKEMCQIALJHL-UHFFFAOYSA-N,Sca239352
Other cytosolic protein,HS90A,IFMQECKWMZDRQN-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,QETISTDEYMGRCN-UHFFFAOYSA-N,Sca115817
Other cytosolic protein,HS90A,AIMKFQOZDDCIAX-UHFFFAOYSA-N,Sca98005
Other cytosolic protein,HS90A,AIMKFQOZDDCIAX-UHFFFAOYSA-N,Sca115844
Other cytosolic protein,HS90A,GBUFUJGPAXHPDH-UHFFFAOYSA-N,Sca239357
Other cytosolic protein,HS90A,RLQNKZHIWKJKJE-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,RLQNKZHIWKJKJE-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,AVFBSMWWJOVYGJ-UHFFFAOYSA-N,Sca239526
Other cytosolic protein,HS90A,GQTAYJHCNIDUJF-UHFFFAOYSA-N,Sca239517
Other cytosolic protein,HS90A,GQTAYJHCNIDUJF-UHFFFAOYSA-N,Sca239512
Other cytosolic protein,HS90A,GQTAYJHCNIDUJF-UHFFFAOYSA-N,Sca239511
Other cytosolic protein,HS90A,YZMLUOHUAMGPGS-MRXNPFEDSA-N,Sca250602
Other cytosolic protein,HS90A,LPNPUVWHHAMBGR-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,LPNPUVWHHAMBGR-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,OQTGWGQVJCWDDT-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,KKPKKLMXEDMPFO-UHFFFAOYSA-N,Sca240416
Other cytosolic protein,HS90A,BNOYRDUPHFYYTI-GFCCVEGCSA-N,Sca250602
Other cytosolic protein,HS90A,TWSMBEWMAUAXGL-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,TWSMBEWMAUAXGL-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,GXZGXMAMFBJOLJ-UHFFFAOYSA-N,Sca375
Other cytosolic protein,HS90A,MTKYLSRTMOPANA-UHFFFAOYSA-N,Sca124791
Other cytosolic protein,HS90A,GSUOVFJJGRKABZ-UHFFFAOYSA-N,Sca239358
Other cytosolic protein,HS90A,IMNQUUIOCJCGSV-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,IMNQUUIOCJCGSV-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,MFKOZLZVTYQGHU-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,MFKOZLZVTYQGHU-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,XKIHNEBISXGTGC-UHFFFAOYSA-N,Sca260201
Other cytosolic protein,HS90A,MESLEVWZCOXIHY-UHFFFAOYSA-N,Sca75150
Other cytosolic protein,HS90A,PZVIBISJBVOIMW-UHFFFAOYSA-N,Sca158584
Other cytosolic protein,HS90A,DBQMQBFEXOYJOS-UHFFFAOYSA-N,Sca115817
Other cytosolic protein,HS90A,IUFLGSIBXYKVKX-UHFFFAOYSA-N,Sca252225
Other cytosolic protein,HS90A,HHVKWRGBSXPPJI-UHFFFAOYSA-N,Sca180088
Other cytosolic protein,HS90A,YMMPABJXIKGNNR-UHFFFAOYSA-N,Sca252225
Other cytosolic protein,HS90A,CXFXSTHDYJQJAP-UHFFFAOYSA-N,Sca252900
Other cytosolic protein,HS90A,AMWZXPSBURRZMG-UHFFFAOYSA-N,Sca239532
Other cytosolic protein,HS90A,VOHTVEKGONPVHC-UHFFFAOYSA-N,Sca247401
Other cytosolic protein,HS90A,HUNAOTXNHVALTN-UHFFFAOYSA-N,Sca4451
Other cytosolic protein,HS90A,HUNAOTXNHVALTN-UHFFFAOYSA-N,Sca5346
Other cytosolic protein,HS90A,DRZFBNMHSCHMTL-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,DRZFBNMHSCHMTL-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,IPKXNHRYZPSSFR-UHFFFAOYSA-N,Sca240416
Other cytosolic protein,HS90A,XRJRXYVIZJXPEP-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,AYTRRCUXJZHIPQ-UHFFFAOYSA-N,Sca115817
Other cytosolic protein,HS90A,KZFNSFSFTNJMTD-UHFFFAOYSA-N,Sca105449
Other cytosolic protein,HS90A,OXMHCARRTDCOFP-UHFFFAOYSA-N,Sca105449
Other cytosolic protein,HS90A,OWPMENVYXDJDOW-UHFFFAOYSA-N,Sca73963
Other cytosolic protein,HS90A,WZLCFOXGYACZKU-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,KZAIXPANSDUBIV-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,WDSJDYMQNSBCCC-UHFFFAOYSA-N,Sca369
Other cytosolic protein,HS90A,RNRUDSDKXMGQLH-UHFFFAOYSA-N,Sca75088
Other cytosolic protein,HS90A,BBERRDWXGILBQQ-UHFFFAOYSA-N,Sca239510
Other cytosolic protein,HS90A,GANXSKPMYDRRFI-UHFFFAOYSA-N,Sca180088
Other cytosolic protein,HS90A,RIVRSBWWXQQZLY-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,RTIAXUYLACAMGU-UHFFFAOYSA-N,Sca73963
Other cytosolic protein,HS90A,YYNDMYQLAXHUCV-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,YYNDMYQLAXHUCV-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,PNMRMEXSPUOBKG-UHFFFAOYSA-N,Sca115817
Other cytosolic protein,HS90A,IQFIFIMIRUVGSQ-IAQSXBTISA-N,Sca6846
Other cytosolic protein,HS90A,YYVZNVJHYCNNAS-OAHLLOKOSA-N,Sca250602
Other cytosolic protein,HS90A,UXRQKQKSBDBADQ-UHFFFAOYSA-N,Sca75150
Other cytosolic protein,HS90A,DKQUDOVNDMRXNZ-CYBMUJFWSA-N,Sca250602
Other cytosolic protein,HS90A,OZXKSZGYVOHFOD-UHFFFAOYSA-N,Sca375
Other cytosolic protein,HS90A,WCNWRBAQSUPKHE-UHFFFAOYSA-N,Sca232123
Other cytosolic protein,HS90A,WCNWRBAQSUPKHE-UHFFFAOYSA-N,Sca139368
Other cytosolic protein,HS90A,WCNWRBAQSUPKHE-UHFFFAOYSA-N,Sca136713
Other cytosolic protein,HS90A,LIRXYOSHRDKVEH-UHFFFAOYSA-N,Sca239530
Other cytosolic protein,HS90A,NCZKFFVXUCMMPH-UHFFFAOYSA-N,Sca239358
Other cytosolic protein,HS90A,FNNXIVAECASPAR-UHFFFAOYSA-N,Sca226254
Other cytosolic protein,HS90A,SHQYMCWXQPPEMC-UHFFFAOYSA-N,Sca369
Other cytosolic protein,HS90A,MFODEOVNCYTDCO-UHFFFAOYSA-N,Sca374
Other cytosolic protein,HS90A,FLANSLWVOMGKFX-UHFFFAOYSA-N,Sca239524
Other cytosolic protein,HS90A,AHEANBICJFPUJQ-UHFFFAOYSA-N,Sca252900
Other cytosolic protein,HS90A,GAXYTWCDYDICEO-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,BNQBIHIACMCSBI-UHFFFAOYSA-N,Sca240411
Other cytosolic protein,HS90A,BLWOIFSJVMHKAM-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,XFJMYFDCGODBGZ-UHFFFAOYSA-N,Sca115817
Other cytosolic protein,HS90A,XDAXMEXPQNGVJL-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,KRAYVSGJJDSELH-DVLPRLDKSA-N,Sca6846
Other cytosolic protein,HS90A,VIBPEGKTQCWOSK-UHFFFAOYSA-N,Sca4451
Other cytosolic protein,HS90A,VIBPEGKTQCWOSK-UHFFFAOYSA-N,Sca5346
Other cytosolic protein,HS90A,XHSBXSLFXCGQQD-DEOSSOPVSA-N,Sca115817
Other cytosolic protein,HS90A,OUIASJZGMFCFQE-UHFFFAOYSA-N,Sca239532
Other cytosolic protein,HS90A,DDHGFRIEDWXTHM-UHFFFAOYSA-N,Sca252225
Other cytosolic protein,HS90A,VTYPHPHCZYEQRJ-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,TUILDUSTRFDOPC-UHFFFAOYSA-N,Sca247395
Other cytosolic protein,HS90A,HWXYPOSCBPQPMK-UHFFFAOYSA-N,Sca240420
Other cytosolic protein,HS90A,HCEPAGMKRSAQJJ-UHFFFAOYSA-N,Sca247389
Other cytosolic protein,HS90A,ZJSCBXBMQFTBAY-UHFFFAOYSA-N,Sca115817
Other cytosolic protein,HS90A,STEXXKLLANGNJT-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,GENUPDQCNCBCTQ-LBPRGKRZSA-N,Sca136712
Other cytosolic protein,HS90A,HQEPYUJWKKZMDS-UHFFFAOYSA-N,Sca252225
Other cytosolic protein,HS90A,XXOKQDNUZDLGCK-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,IQGDGZXLNYMLGJ-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,VACWRNKBAQJRMW-UHFFFAOYSA-N,Sca252225
Other cytosolic protein,HS90A,GRWUWTJRPDVUNR-UHFFFAOYSA-N,Sca98005
Other cytosolic protein,HS90A,GRWUWTJRPDVUNR-UHFFFAOYSA-N,Sca115844
Other cytosolic protein,HS90A,DXGLAMIYOFRRGF-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,DXGLAMIYOFRRGF-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,AZOFIVJONBGOTQ-UHFFFAOYSA-N,Sca238902
Other cytosolic protein,HS90A,JLIRVZVVCCIAKG-UHFFFAOYSA-N,Sca24840
Other cytosolic protein,HS90A,VUQDPFXQYOUHGL-UHFFFAOYSA-N,Sca185229
Other cytosolic protein,HS90A,CJZPIANKAUZKQG-UHFFFAOYSA-N,Sca374
Other cytosolic protein,HS90A,CJFMDQHCWOVQSO-UHFFFAOYSA-N,Sca115817
Other cytosolic protein,HS90A,FQJFNAVQVZPULA-UHFFFAOYSA-N,Sca12359
Other cytosolic protein,HS90A,CMUOQACBLLCUQL-UHFFFAOYSA-N,Sca239517
Other cytosolic protein,HS90A,CMUOQACBLLCUQL-UHFFFAOYSA-N,Sca239512
Other cytosolic protein,HS90A,CMUOQACBLLCUQL-UHFFFAOYSA-N,Sca239511
Other cytosolic protein,HS90A,LKXZPCRZTJPDMW-UHFFFAOYSA-N,Sca247391
Other cytosolic protein,HS90A,MNPDTLDITGFXDG-UHFFFAOYSA-N,Sca239530
Other cytosolic protein,HS90A,CLFXZSRJZJUGCL-UHFFFAOYSA-N,Sca182543
Other cytosolic protein,HS90A,FRDWFVYYRVMIEO-UHFFFAOYSA-N,Sca239510
Other cytosolic protein,HS90A,CLBWVYOGTAGFNH-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,PLTNGPNDMXCAGM-UHFFFAOYSA-N,Sca182536
Other cytosolic protein,HS90A,UBZCNOJGKIKFTO-GFCCVEGCSA-N,Sca250602
Other cytosolic protein,HS90A,REJPVIRHSRAXOD-UHFFFAOYSA-N,Sca16203
Other cytosolic protein,HS90A,RDQAVNSBZVTDPS-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,KUFRQPKVAWMTJO-LMZWQJSESA-N,Sca6847
Other cytosolic protein,HS90A,VBVXWYMKVOTMBY-UHFFFAOYSA-N,Sca239532
Other cytosolic protein,HS90A,KXPSBWYDIUVSGL-UHFFFAOYSA-N,Sca247391
Other cytosolic protein,HS90A,MGJPCOPOACYTTP-FJGQUBCSSA-N,Sca6846
Other cytosolic protein,HS90A,OSCAYXJQHIGJHI-UHFFFAOYSA-N,Sca240416
Other cytosolic protein,HS90A,APFZLEILTRYZRY-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,WYZWZEOGROVVHK-GTMNPGAYSA-N,Sca32746
Other cytosolic protein,HS90A,XBFYACGYMOHVFU-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,QAXQRXZBXHBFPQ-UHFFFAOYSA-N,Sca105449
Other cytosolic protein,HS90A,AMTCPQOFUHDNGP-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,AYPRMJRBDPUOEQ-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,AYPRMJRBDPUOEQ-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,MKBBWHFACZDCOH-UHFFFAOYSA-N,Sca239354
Other cytosolic protein,HS90A,NCROGRSEZXPSAB-FQEVSTJZSA-N,Sca115817
Other cytosolic protein,HS90A,ZYDLLQQSZLGFKF-UHFFFAOYSA-N,Sca24840
Other cytosolic protein,HS90A,UGBMELZZZKQHRB-UHFFFAOYSA-N,Sca252224
Other cytosolic protein,HS90A,GSHAEQBERDNVBH-UHFFFAOYSA-N,Sca115817
Other cytosolic protein,HS90A,ZFHMXEXCXGJBAO-UHFFFAOYSA-N,Sca16203
Other cytosolic protein,HS90A,ZOJHRXJTOJIJNW-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,QZLDWSFSFMYFDA-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,XSYKTRYXGUZLBT-UHFFFAOYSA-N,Sca103107
Other cytosolic protein,HS90A,ZFVRYNYOPQZKDG-MQMHXKEQSA-N,Sca136726
Other cytosolic protein,HS90A,IUDRMGNLGRKNHR-UHFFFAOYSA-N,Sca105449
Other cytosolic protein,HS90A,MHLWEVMLBXNHQO-UHFFFAOYSA-N,Sca239532
Other cytosolic protein,HS90A,XRFHWSYKRFEPRA-CYBMUJFWSA-N,Sca250602
Other cytosolic protein,HS90A,SJSZIOGBCPNYSG-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,ULOTVDWTJKRHPG-UHFFFAOYSA-N,Sca374
Other cytosolic protein,HS90A,LLRLVSMTALSDMY-UHFFFAOYSA-N,Sca247389
Other cytosolic protein,HS90A,NCLIKZGVDCOYTP-MRXNPFEDSA-N,Sca250602
Other cytosolic protein,HS90A,CKAFUNPJPCPMTQ-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,XEADAWRYEKBMAU-UHFFFAOYSA-N,Sca239517
Other cytosolic protein,HS90A,XEADAWRYEKBMAU-UHFFFAOYSA-N,Sca239512
Other cytosolic protein,HS90A,XEADAWRYEKBMAU-UHFFFAOYSA-N,Sca239511
Other cytosolic protein,HS90A,OVEQIIQCJMEDEC-UHFFFAOYSA-N,Sca240413
Other cytosolic protein,HS90A,UKNPCNBFXIRHOG-YKNAKQMYSA-N,Sca6846
Other cytosolic protein,HS90A,ZRFHTXGPVLSYHB-HNNXBMFYSA-N,Sca239507
Other cytosolic protein,HS90A,WZMXCKPOKMINNZ-LJQANCHMSA-N,Sca115817
Other cytosolic protein,HS90A,NXVNEXNPPMPXSH-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,GIQAPSWPNVRJGI-UHFFFAOYSA-N,Sca238902
Other cytosolic protein,HS90A,ISYHVOIPNIDDCR-UHFFFAOYSA-N,Sca240416
Other cytosolic protein,HS90A,IKFUZXZSSVPTOV-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,JRKWIMWCXIIYEH-UHFFFAOYSA-N,Sca375
Other cytosolic protein,HS90A,OLFHSOXJKHUDGA-UHFFFAOYSA-N,Sca240416
Other cytosolic protein,HS90A,XTTVAFSDZYWZOX-UHFFFAOYSA-N,Sca180088
Other cytosolic protein,HS90A,QKMQJLLMNRRTJB-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,QKMQJLLMNRRTJB-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,ATDJWAWLZURHME-UHFFFAOYSA-N,Sca4451
Other cytosolic protein,HS90A,ATDJWAWLZURHME-UHFFFAOYSA-N,Sca5346
Other cytosolic protein,HS90A,ADPSERRRZONZKD-UHFFFAOYSA-N,Sca10030
Other cytosolic protein,HS90A,MZWJVWCHCUQOFG-UHFFFAOYSA-N,Sca252225
Other cytosolic protein,HS90A,AVNWJTBEPNSVIJ-UHFFFAOYSA-N,Sca16203
Other cytosolic protein,HS90A,MMYZOSFHLBWWCH-UHFFFAOYSA-N,Sca180088
Other cytosolic protein,HS90A,IULUGODLBRFXLM-UHFFFAOYSA-N,Sca239532
Other cytosolic protein,HS90A,WSMQUUGTQYPVPD-OAHLLOKOSA-N,Sca250602
Other cytosolic protein,HS90A,RWORIWVOIKMLHF-CQSZACIVSA-N,Sca250602
Other cytosolic protein,HS90A,VVFOMJFVCQAVCD-UHFFFAOYSA-N,Sca374
Other cytosolic protein,HS90A,OJJIOCOOWBVNAV-UHFFFAOYSA-N,Sca240416
Other cytosolic protein,HS90A,BASLFXHBMHSLDF-UHFFFAOYSA-N,Sca239530
Other cytosolic protein,HS90A,BZCOFCDRVIYRGF-UHFFFAOYSA-N,Sca260197
Other cytosolic protein,HS90A,PDTIGQGNOQYHJW-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,NOPCVCOFHGDYAB-UHFFFAOYSA-N,Sca4451
Other cytosolic protein,HS90A,NOPCVCOFHGDYAB-UHFFFAOYSA-N,Sca5346
Other cytosolic protein,HS90A,HEUKUPZJWOFYNZ-UHFFFAOYSA-N,Sca239517
Other cytosolic protein,HS90A,HEUKUPZJWOFYNZ-UHFFFAOYSA-N,Sca239512
Other cytosolic protein,HS90A,HEUKUPZJWOFYNZ-UHFFFAOYSA-N,Sca239511
Other cytosolic protein,HS90A,GVSHPPIHCUEEAH-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,GBFWYMWIESHQSG-UHFFFAOYSA-N,Sca369
Other cytosolic protein,HS90A,MSHYQCFSRGHYAU-UHFFFAOYSA-N,Sca374
Other cytosolic protein,HS90A,WVZXXBYXJNDMGS-UHFFFAOYSA-N,Sca3871
Other cytosolic protein,HS90A,FKJCCKZLXXZQBR-UHFFFAOYSA-N,Sca252225
Other cytosolic protein,HS90A,DMSSJGUAIMGOKZ-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,MBLAVZXPBZMXHZ-UHFFFAOYSA-N,Sca16203
Other cytosolic protein,HS90A,RDTXDLNNGRSXJZ-UHFFFAOYSA-N,Sca124791
Other cytosolic protein,HS90A,TYKPZVLPLZTMTM-AWEZNQCLSA-N,Sca239510
Other cytosolic protein,HS90A,DBXDUCOPSPKNON-UHFFFAOYSA-N,Sca4451
Other cytosolic protein,HS90A,DBXDUCOPSPKNON-UHFFFAOYSA-N,Sca5346
Other cytosolic protein,HS90A,FFYGNZCFVJWTMP-UHFFFAOYSA-N,Sca247403
Other cytosolic protein,HS90A,KRRWEDJIVLDJJK-UHFFFAOYSA-N,Sca4451
Other cytosolic protein,HS90A,KRRWEDJIVLDJJK-UHFFFAOYSA-N,Sca5346
Other cytosolic protein,HS90A,FYCJRTZCIKPOFP-UHFFFAOYSA-N,Sca240418
Other cytosolic protein,HS90A,XAKQPZRYSINFJB-UHFFFAOYSA-N,Sca260195
Other cytosolic protein,HS90A,SGNSAEIAPQQRJE-UHFFFAOYSA-N,Sca247398
Other cytosolic protein,HS90A,VOASEWXFCTZRDF-UHFFFAOYSA-N,Sca105449
Other cytosolic protein,HS90A,ZZJXOBKVROBVJQ-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,XGHMJWBQMCKFLJ-UHFFFAOYSA-N,Sca239510
Other cytosolic protein,HS90A,SMJJAAHWGIEVIU-UHFFFAOYSA-N,Sca239517
Other cytosolic protein,HS90A,SMJJAAHWGIEVIU-UHFFFAOYSA-N,Sca239512
Other cytosolic protein,HS90A,SMJJAAHWGIEVIU-UHFFFAOYSA-N,Sca239511
Other cytosolic protein,HS90A,DVQDRCWQNXXCPF-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,QHNRMNCQNXEHEB-UHFFFAOYSA-N,Sca240416
Other cytosolic protein,HS90A,JSYMEQCYUGXIQO-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,ZPXWZHXHEMSPJU-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,ZPXWZHXHEMSPJU-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,RBHQGEWNBVFZRU-UHFFFAOYSA-N,Sca4451
Other cytosolic protein,HS90A,RBHQGEWNBVFZRU-UHFFFAOYSA-N,Sca5346
Other cytosolic protein,HS90A,ZPWTXMVGRLSLPQ-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,VNEFVOCDBSYKOE-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,HWWXFDOHQPTWIX-UHFFFAOYSA-N,Sca4451
Other cytosolic protein,HS90A,HWWXFDOHQPTWIX-UHFFFAOYSA-N,Sca5346
Other cytosolic protein,HS90A,OJKALDMOCOACDI-UHFFFAOYSA-N,Sca98005
Other cytosolic protein,HS90A,OJKALDMOCOACDI-UHFFFAOYSA-N,Sca115844
Other cytosolic protein,HS90A,NRNVQNBPTHAHJM-UHFFFAOYSA-N,Sca124791
Other cytosolic protein,HS90A,RNZLMRGTVWFDMV-UHFFFAOYSA-N,Sca247391
Other cytosolic protein,HS90A,RXUUBYKQGWVWPQ-UHFFFAOYSA-N,Sca180090
Other cytosolic protein,HS90A,DMCPDWIOTIBIEG-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,XVSUNACWJLYZAA-UHFFFAOYSA-N,Sca247357
Other cytosolic protein,HS90A,WLLLZGPWBZGIRG-UHFFFAOYSA-N,Sca180089
Other cytosolic protein,HS90A,JEHITPSPEWPKHP-UHFFFAOYSA-N,Sca239526
Other cytosolic protein,HS90A,CFIHEEUEECLNIB-UHFFFAOYSA-N,Sca1948
Other cytosolic protein,HS90A,CFIHEEUEECLNIB-UHFFFAOYSA-N,Sca5629
Other cytosolic protein,HS90A,BYUWYXKBXJUDHH-UHFFFAOYSA-N,Sca260203
Other cytosolic protein,HS90A,FSKGHXMKXIQYMX-UHFFFAOYSA-N,Sca180090
Other cytosolic protein,HS90A,WPTKQGSGSKGHDM-UHFFFAOYSA-N,Sca247393
Other cytosolic protein,HS90A,JAXODMFYXRHARC-IYBDPMFKSA-N,Sca18856
Other cytosolic protein,HS90A,BQLQIGOSKSOFMN-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,BRINRGZLMPLOHC-UHFFFAOYSA-N,Sca16203
Other cytosolic protein,HS90A,NYJJEDZAPVQCSV-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,KUFRQPKVAWMTJO-SBNHGUPZSA-N,Sca6847
Other cytosolic protein,HS90A,WZMXCKPOKMINNZ-IBGZPJMESA-N,Sca115817
Other cytosolic protein,HS90A,LHLULKGITMTJMB-UHFFFAOYSA-N,Sca105449
Other cytosolic protein,HS90A,LGHNWOHAKUQRAW-UHFFFAOYSA-N,Sca252225
Other cytosolic protein,HS90A,QTQAWLPCGQOSGP-KSRBKZBZSA-N,Sca6847
Other cytosolic protein,HS90A,IYALTJKOZIKDFX-UHFFFAOYSA-N,Sca252225
Other cytosolic protein,HS90A,GAGDTKJJVCLACJ-ZDUSSCGKSA-N,Sca136712
Other cytosolic protein,HS90A,FFBBPPCCNBFJPR-UHFFFAOYSA-N,Sca239510
Other cytosolic protein,HS90A,ZCYBILUPTBRXMP-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,ZSOQWPOVGAAMDL-UHFFFAOYSA-N,Sca115817
Other cytosolic protein,HS90A,IAXZECRNDOTGHO-UHFFFAOYSA-N,Sca16203
Other cytosolic protein,HS90A,WZMXCKPOKMINNZ-UHFFFAOYSA-N,Sca115817
Other cytosolic protein,HS90A,KGQVZYMWAYVSHA-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,BVCOPVVOEOGFIF-UHFFFAOYSA-N,Sca18856
Other cytosolic protein,HS90A,SUPVGFZUWFMATN-UHFFFAOYSA-N,Sca75088
